GameName,Description,Developer,Publisher,ReleaseDate,EarlyAccessDate,Memory,Storage,Generes,Language,Tags,Category,RatingDescription
Counter-Strike: Global Offensive,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).","Valve, Hidden Path Entertainment",Valve,"Aug 21, 2012",, 2 GB RAM, 15 GB available space,"Action, Free to Play","English,Czech,Danish,Dutch,Finnish,French,German,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese - Portugal,Portuguese - Brazil,Romanian,Russian,Simplified Chinese,Spanish - Spain,Swedish,Thai,Traditional Chinese,Turkish,Bulgarian,Ukrainian,Greek,Spanish - Latin America,Vietnamese","FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online,Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable,+","Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",
Baldur's Gate 3,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",Larian Studios,Larian Studios,"Oct 6, 2020","Early Access Release Date: Oct 6, 2020",,,"Adventure, RPG, Strategy, Early Access","English,French,German,Spanish - Spain,Polish,Russian,Simplified Chinese,Turkish,Portuguese - Brazil","Early,Access,RPG,Choices,Matter,Character,Customization,Story,Rich,CRPG,Fantasy,Co-op,Campaign,Romance,Class-Based,Dark,Fantasy,Turn-Based,Combat,PvE,Narration,Combat,Stealth,Crafting,Dungeons,&,Dragons,Isometric,Team-Based,+","Single-player,Online Co-op,LAN Co-op,Steam Cloud 

Requires agreement to a 3rd-party EULA
Baldur's Gate 3 EULA","Blood and Gore,Nudity,Sexual Content,Strong Language,Violence"
BattleBit Remastered,"BattleBit Remastered is a low-poly, massive multiplayer FPS, supporting 254 players per server. Battle on a near-fully destructible map with various vehicles!","SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki,"Jun 15, 2023","Early Access Release Date: Jun 15, 2023",,,"Action, Massively Multiplayer, Early Access","English,French,Italian,German,Spanish - Spain,Arabic,Czech,Dutch,Finnish,Hungarian,Japanese,Korean,Norwegian,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Swedish,Traditional Chinese,Turkish,Ukrainian,Vietnamese,Belarusian,Estonian,Macedonian,Serbian,Slovak","FPS,Shooter,Multiplayer,Destruction,Massively,Multiplayer,Military,PvP,Action,War,First-Person,Tactical,Team-Based,Combat,Class-Based,Character,Customization,Early,Access,Gun,Customization,3D,Voxel,Indie,+","MMOOnline Pv,PPartial Controller Support",
Apex Legends™,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",Respawn Entertainment,Electronic Arts,"Nov 4, 2020",,,,"Action, Adventure, Free to Play","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese,Spanish - Latin America,Arabic","Free,to,Play,Multiplayer,Battle,Royale,Shooter,FPS,First-Person,PvP,Action,Team-Based,Hero,Shooter,Tactical,Sci-fi,Survival,Character,Customization,Loot,Funny,Co-op,Lore-Rich,Cyberpunk,Cinematic,+","Online Pv,POnline Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases 

									Requires 3rd-Party Account: EA Account (Supports Linking to Steam Account)								

Requires agreement to a 3rd-party EULA
Apex Legends EULA","Blood,Violence"
Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",Bungie,Bungie ,"Oct 1, 2019",,,,"Action, Adventure, Free to Play","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America,Traditional Chinese","Free,to,Play,Open,World,FPS,MMORPG,Looter,Shooter,Co-op,PvP,PvE,Multiplayer,Shooter,Massively,Multiplayer,First-Person,Loot,Sci-fi,Action,Lore-Rich,Adventure,Space,Competitive,Atmospheric,+","Single-player,Online Pv,POnline Co-op,Steam Achievements,Full controller support,In-App Purchases,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV 

Requires agreement to a 3rd-party EULA
Destiny 2 EULA","Blood ,Language ,Violence"
Red Dead Redemption 2,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",Rockstar Games,Rockstar Games,"Dec 5, 2019",,,,"Action, Adventure","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Portugal,Russian,Simplified Chinese,Spanish - Latin America,Traditional Chinese","Open,World,Story,Rich,Western,Adventure,Action,Multiplayer,Realistic,Singleplayer,Shooter,Atmospheric,Horses,Beautiful,Third-Person,Shooter,Mature,Great,Soundtrack,Third,Person,Sandbox,Gore,First-Person,FPS,+","Single-player,Online Pv,POnline Co-op,Steam Achievements,In-App Purchases,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet 

									Requires 3rd-Party Account: Rockstar Games Social Club 								

Requires agreement to a 3rd-party EULA
Red Dead Redemption 2 EULA","Blood and Gore,Intense Violence,Nudity,Sexual Content,Strong Language,Use of Drugs and Alcohol"
Call of Duty®: Modern Warfare® II,Call of Duty®: Modern Warfare® II drops players into an unprecedented global conflict that features the return of the iconic Operators of Task Force 141.,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,"Oct 27, 2022",,,,Action,"English,French,Italian,German,Spanish - Spain,Korean,Polish,Russian,Traditional Chinese,Japanese,Spanish - Latin America,Arabic,Simplified Chinese,Portuguese - Brazil","FPS,Multiplayer,Action,Shooter,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Realistic,Co-op,Story,Rich,Atmospheric,Mature,Online,Co-Op,Gore,Third-Person,Shooter,Third,Person,+","Single-player,Online Pv,POnline Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases 

									Requires 3rd-Party Account: Activision Account","Intense Violence,Blood and Gore,Suggestive Themes,Strong Language,Use of Drugs"
Rust,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.",Facepunch Studios,Facepunch Studios,"Feb 8, 2018",,,,"Action, Adventure, Indie, Massively Multiplayer, RPG","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Russian,Simplified Chinese,Ukrainian,Polish,Portuguese - Portugal,Turkish,Arabic,Czech,Danish,Dutch,Finnish,Greek,Norwegian,Portuguese - Brazil,Spanish - Latin America,Swedish,Traditional Chinese,Vietnamese","Survival,Crafting,Multiplayer,Open,World,Open,World,Survival,Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online,Co-Op,Indie,Early,Access,Post-apocalyptic,Simulation,+","MMOOnline Pv,POnline Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet 

Requires agreement to a 3rd-party EULA
Rust EULA",
The Sims™ 4,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,Maxis,Electronic Arts,"Sep 2, 2014",,,,"Adventure, Casual, Free to Play, Simulation","English,French,Italian,German,Spanish - Spain,Czech,Danish,Dutch,Japanese,Norwegian,Polish,Portuguese - Brazil,Russian,Swedish,Finnish,Traditional Chinese,Simplified Chinese,Korean","Free,to,Play,Life,Sim,Character,Customization,Building,Sandbox,Romance,Singleplayer,Immersive,Sim,Simulation,Dating,Sim,Cute,Relaxing,Casual,Funny,Realistic,Family,Friendly,Adventure,Cartoony,Fantasy,Multiplayer,+","Single-player,Steam Trading Cards,Remote Play on Tablet 

									Incorporates 3rd-party DRM: EA online activation and EA app software installation and background use required.								

									Requires 3rd-Party Account: EA Account (Supports Linking to Steam Account)								

Requires agreement to a 3rd-party EULA
The Sims™ 4 EULA


EA Play subscription requires acceptance of
EA Play Terms","Violence,Sexual Themes,Crude Humor"
The Elder Scrolls® Online,"Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.",ZeniMax Online Studios,Bethesda Softworks,"Apr 4, 2014",,,,"Action, Adventure, Massively Multiplayer, RPG","English,French,German,Russian,Spanish - Spain,Simplified Chinese","RPG,MMORPG,Open,World,Adventure,Fantasy,Exploration,Multiplayer,Singleplayer,Massively,Multiplayer,Action,PvP,Character,Customization,PvE,Lore-Rich,Choose,Your,Own,Adventure,Story,Rich,Magic,Class-Based,Action,RPG,Atmospheric,+","MMOOnline Pv,POnline Co-op,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support 

									Requires 3rd-Party Account: Elder Scrolls Online Account (Supports Linking to Steam Account)","Blood and Gore,Sexual Themes,Use of Alcohol,Violence"
